"","MandateId","SearchStatus","MandateDate","EntryDate","MandateSizeCurrency","MandateSizeAmount","AccountSizeAmount","MandateRegion","Fund","FundType","FundCountry","FundRegion","SearchConsultant","AssetManager","AssetManagerParentFirm","AssetManagerCountry","MainAssetClass","InvestmentApproach","SubAssetClass","CapSize","Style","Benchmark.Index","Month","Region","Year","Quarter","AC2","XR","OriginalAmount"
"2291",2147030366,"Completed",2017-05-22,"5/22/2017","USD",100,100,"Global","Illinois Municipal Retirement Fund","Public D.B.","United States","North America","Callan Associates","Partners Group","","United States","Real Assets","","Infrastructure","","","","05","US","2017","Q2","Other Alternatives",1,100
"2292",2147030305,"Completed",2017-08-29,"8/29/2017","USD",20,0,"Global","Ohio State Highway Patrol Retirement System","Public D.B.","United States","North America","Hartland & Company","Partners Group","","United States","Real Assets","","Infrastructure","","","","08","US","2017","Q3","Other Alternatives",1,0
"2295",2147029557,"Completed",2017-03-16,"3/16/2017","USD",65,65,"Global","San Luis Obispo County Pension Trust","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","Pathway Capital Management","","United States","Private Equity","","Fund-of-Funds","","","","03","US","2017","Q1","Private Equity",1,65
"2297",2147028764,"Completed",2017-03-20,"3/20/2017","USD",0,0,"U.S.","Rhode Island State Investment Commission","Public D.B.","United States","North America","Pension Consulting Alliance","Payden & Rygel","","United States","Cash","","","","","","03","US","2017","Q1","Other",1,0
"2298",2147032651,"Completed",2017-09-04,"9/4/2017","USD",20,20,"U.S.","San Diego City Employees Retirement System","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Peak Rock Capital","","United States","Private Equity","","Special Situations/Distressed","","","","09","US","2017","Q3","Private Equity",1,20
"2299",2147031918,"Completed",2017-08-01,"8/22/2017","USD",100,100,"Global","Florida State Board of Administration","Public D.B.","United States","North America","Cambridge Associates","Peak Rock Capital","","United States","Private Equity","","Middle-Market/Special Situations/Distressed","","","","08","US","2017","Q3","Private Equity",1,100
"2300",2147032652,"Completed",2017-09-04,"9/4/2017","USD",10,10,"U.S.","San Diego City Employees Retirement System","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Pegasus Capital Advisors","","United States","Private Equity","","Buyout/Secondary Markets","","","","09","US","2017","Q3","Private Equity",1,10
"2303",2147031797,"Completed",2017-07-27,"7/27/2017","USD",100,50,"Asia","Pennsylvania State Employees Retirement System","Public D.B.","United States","North America","StepStone Group","PENN Capital Management","","United States","Private Equity","","Buyout/Fund-of-Funds/Venture Capital/Special Situations/Distressed","","","","07","US","2017","Q3","Private Equity",1,50
"2305",2147029424,"Completed",2017-03-09,"3/9/2017","USD",75,25,"U.S.","Employees Retirement System of Texas","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Pennybacker Capital","","United States","Real Estate","Mixed/Unspecified","Value-Added","","","","03","US","2017","Q1","Real Estate",1,25
"2306",2147032602,"Completed",2017-08-31,"8/31/2017","USD",20,20,"Global","Louisiana School Employees Retirement System","Public D.B.","United States","North America","Segal Marco Advisors (formerly Segal Rogerscasey)","Pennybacker Capital","","United States","Real Estate","Mixed/Unspecified","Value-Added","","","","08","US","2017","Q3","Real Estate",1,20
"2318",2147031707,"Completed",2017-07-21,"7/24/2017","USD",90,30,"U.S.","Detroit Police & Fire Retirement System","Public D.B.","United States","North America","Wilshire Associates","Permira","","United States","Fixed Income","Mixed/Unspecified","Senior Loans","","","","07","US","2017","Q3","Fixed Income",1,30
"2319",2147030677,"Completed",2017-06-07,"6/7/2017","USD",15,15,"Global","West Virginia Investment Management Board","Manager of Managers","United States","North America","Albourne Partners","Pershing Square Capital Management","","United States","Hedge Funds","","Event-Driven","","","","06","US","2017","Q2","Hedge Funds",1,15
"2320",2147029670,"Completed",2017-04-06,"4/6/2017","USD",150,150,"U.S.","New Mexico Public Employees Retirement Association","Public D.B.","United States","North America","Cliffwater","Petershill Private Equity","Goldman Sachs","United States","Private Equity","","","","","","04","US","2017","Q2","Private Equity",1,150
"2323",2147032908,"Completed",2017-09-14,"9/14/2017","USD",2,2,"Global","City of Manchester (N.H.) Employees’ Contributory Retirement System","Public D.B.","United States","North America","NEPC","PGIM, INC","","United States","Real Estate","Mixed/Unspecified","Commercial","","","","09","US","2017","Q3","Real Estate",1,2
"2324",2147031478,"Completed",2017-07-13,"7/13/2017","USD",31,31,"U.S.","St. Louis County Retirement Plan","Public D.B.","United States","North America","Summit Strategies Group","PGIM, INC","","United States","Real Estate","Mixed/Unspecified","Value-Added","","","","07","US","2017","Q3","Real Estate",1,31
"2326",2147029354,"Completed",2017-03-06,"3/6/2017","USD",50,50,"Emerging Markets","Indiana Public Retirement System","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","Pharo Management","","United States","Hedge Funds","","Absolute Return/Global Macro","","","","03","US","2017","Q1","Hedge Funds",1,50
"2327",2147029311,"Completed",2017-03-02,"3/2/2017","USD",100,100,"Global","Alaska Permanent Fund Corporation","Public D.B.","United States","North America","Callan Associates","Pharo Management","","United Kingdom","Hedge Funds","","Absolute Return","","","","03","US","2017","Q1","Hedge Funds",1,100
"2328",2147030026,"Completed",2017-04-19,"4/19/2017","USD",75,75,"Emerging Markets","State of Wisconsin Investment Board","Public D.B.","United States","North America","Cliffwater","Pharo Management","","United States","Hedge Funds","","","","","","04","US","2017","Q2","Hedge Funds",1,75
"2329",2147031602,"Completed",2017-09-21,"9/22/2017","USD",20,20,"Emerging Markets","San Antonio Fire & Police Pension Fund","Public D.B.","United States","North America","Albourne Partners","Pharo Management","","United Kingdom","Hedge Funds","","Global Macro","","","","09","US","2017","Q3","Hedge Funds",1,20
"2331",2147027894,"Completed",2017-03-30,"3/30/2017","USD",20,20,"U.S.","St. Louis Employees’ Retirement System","Public D.B.","United States","North America","Summit Strategies Group","Piedmont Investment Advisors","","United States","Equity","Mixed/Unspecified","","Large-Cap","Core","S&amp;P 500","03","US","2017","Q1","Equity",1,20
"2332",2147029855,"Completed",2017-04-05,"4/5/2017","USD",0,0,"U.S.","Detroit Police & Fire Retirement System","Public D.B.","United States","North America","Wilshire Associates","Piedmont Investment Advisors","","United States","Fixed Income","Mixed/Unspecified","","","","","04","US","2017","Q2","Fixed Income",1,0
"2338",2147029361,"Completed",2017-03-06,"3/6/2017","USD",100,100,"U.S.","New Mexico State Investment Council","Permanent Fund","United States","North America","LP Capital Advisors","PIMCO","PIMCO","United States","Private Equity","","","","","","03","US","2017","Q1","Private Equity",1,100
"2339",2147029360,"Completed",2017-03-06,"3/6/2017","USD",100,100,"U.S.","New Mexico State Investment Council","Permanent Fund","United States","North America","LP Capital Advisors","PIMCO","PIMCO","United States","Private Equity","","Credit-Focused/Special Situations/Distressed","","","","03","US","2017","Q1","Private Equity",1,100
"2340",2147027687,"Completed",2017-02-09,"2/9/2017","USD",600,300,"Emerging Markets","Contra Costa County Employees Retirement Association","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","PIMCO","PIMCO","United States","Equity","Active","","","","","02","US","2017","Q1","Equity",1,300
"2341",2147028593,"Completed",2017-01-13,"1/13/2017","USD",0.5,0.5,"Global","Norwalk (Conn.) Employees Pension System","Public D.B.","United States","North America","Callan Associates","PIMCO","PIMCO","United States","Tactical Asset Allocation","","","","","","01","US","2017","Q1","Other Alternatives",1,0.5
"2342",2147031217,"Completed",2017-06-30,"6/30/2017","USD",8,8,"Global","Chattanooga Fire and Police Pension Fund","Public D.B.","United States","North America","Dahab Associates","PIMCO","PIMCO","United States","Multi Asset","","","","","","06","US","2017","Q2","Multi Asset",1,8
"2343",2147031161,"Completed",2017-06-29,"6/29/2017","USD",6,6,"U.S.","Norwalk (Conn.) Employees Pension System","Public D.B.","United States","North America","Callan Associates","PIMCO","PIMCO","United States","Real Assets","","","","","","06","US","2017","Q2","Other Alternatives",1,6
"2344",2147031021,"Completed",2017-06-23,"6/26/2017","USD",100,100,"U.S.","Teachers' Retirement System of the State of Illinois","Public D.B.","United States","North America","None","PIMCO","PIMCO","United States","Hedge Funds","","","","","","06","US","2017","Q2","Hedge Funds",1,100
"2345",2147033166,"Completed",2017-09-26,"9/26/2017","USD",0.7,0.7,"Global","City of Norwalk OPEB Trust ","Trust Fund","United States","North America","None","PIMCO","PIMCO","United States","Tactical Asset Allocation","","","","","","09","US","2017","Q3","Other Alternatives",1,0.7
"2346",2147032902,"Completed",2017-09-20,"9/20/2017","USD",50,50,"Global","Oklahoma Firefighters Pension & Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","PIMCO","PIMCO","United States","Real Estate","Mixed/Unspecified","Commercial/Opportunistic/Residential","","","","09","US","2017","Q3","Real Estate",1,50
"2347",2147030113,"Completed",2017-09-06,"9/6/2017","USD",300,300,"Global","New Mexico Public Employees Retirement Association","Public D.B.","United States","North America","Albourne Partners","PIMCO","PIMCO","United States","Real Assets","","","","","","09","US","2017","Q3","Other Alternatives",1,300
"2348",2147032580,"Completed",2017-08-31,"8/31/2017","USD",300,300,"Global","North Dakota State Investment Board","Public D.B.","United States","North America","Callan Associates","PIMCO","PIMCO","United States","Fixed Income","Mixed/Unspecified","Core","","","","08","US","2017","Q3","Fixed Income",1,300
"2349",2147032363,"Completed",2017-08-18,"8/18/2017","USD",20,20,"Emerging Markets","Contra Costa County Employees Retirement Association","Public D.B.","United States","North America","None","PIMCO","PIMCO","United States","Equity","Mixed/Unspecified","","","","MSCI Emerging Markets","08","US","2017","Q3","Equity",1,20
"2350",2147028822,"Completed",2017-08-07,"8/7/2017","USD",70,70,"U.S.","Fresno County Employees Retirement Association","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","PIMCO","PIMCO","United States","Equity","Mixed/Unspecified","","Small-Cap","Growth/Value","","08","US","2017","Q3","Equity",1,70
"2351",2147018321,"Completed",2017-08-04,"8/4/2017","USD",243,243,"Global","Orange County Employees Retirement System","Public D.B.","United States","North America","Meketa Investment Group","PIMCO","PIMCO","United States","Fixed Income","Active","Core","","","","08","US","2017","Q3","Fixed Income",1,243
"2353",2147027727,"Completed",2017-08-01,"8/1/2017","USD",80,80,"U.S.","San Mateo County Employees Retirement Association","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Strategic Investment Solutions)","PIMCO","PIMCO","United States","Fixed Income","Active","Opportunistic/Credit","","","","08","US","2017","Q3","Fixed Income",1,80
"2354",2147031904,"Completed",2017-08-01,"8/2/2017","USD",87,87,"Global","Kansas City (Mo.) Police Retirement System","Public D.B.","United States","North America","RVK Inc.","PIMCO","PIMCO","United States","Fixed Income","Mixed/Unspecified","Core-Plus","","","Barclays Capital US Aggregate","08","US","2017","Q3","Fixed Income",1,87
"2355",2147031903,"Completed",2017-08-01,"8/1/2017","USD",320,95,"Global","State of Wisconsin Investment Board","Public D.B.","United States","North America","None","PIMCO","PIMCO","United States","Multi Asset","","","","","","08","US","2017","Q3","Multi Asset",1,95
"2356",2147031793,"Completed",2017-07-26,"7/26/2017","USD",99.8,99.8,"U.S.","San Luis Obispo County Pension Trust","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","PIMCO","PIMCO","United States","Equity","Mixed/Unspecified","","Large-Cap","","","07","US","2017","Q3","Equity",1,99.8
"2357",2147031749,"Completed",2017-07-25,"7/26/2017","USD",40,40,"Global","Ohio School Employees Retirement System","Public D.B.","United States","North America","Wilshire Associates","PIMCO","PIMCO","United States","Real Estate","Mixed/Unspecified","Opportunistic","","","","07","US","2017","Q3","Real Estate",1,40
"2358",2147031715,"Completed",2017-07-24,"7/24/2017","USD",38.9,8.6,"International","Louisiana Patient's Compensation Fund","Public D.B.","United States","North America","Cardinal Investment Advisors","PIMCO","PIMCO","United States","Equity","Mixed/Unspecified","","","","","07","US","2017","Q3","Equity",1,8.6
"2359",2147025785,"Completed",2017-07-13,"7/13/2017","USD",100,100,"U.S.","Oklahoma Teachers Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","PIMCO","PIMCO","United States","Fixed Income","Active","Opportunistic","","","","07","US","2017","Q3","Fixed Income",1,100
"2360",2147028740,"Completed",2017-07-13,"7/13/2017","USD",175,175,"Global","Oklahoma Teachers Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","PIMCO","PIMCO","United States","Fixed Income","Active","Private Debt","","","","07","US","2017","Q3","Fixed Income",1,175
"2361",2147010764,"Completed",2017-07-13,"7/13/2017","USD",75,75,"U.S.","Oklahoma Teachers Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","PIMCO","PIMCO","United States","Distressed Debt","","","","","","07","US","2017","Q3","Other Alternatives",1,75
"2362",2147031324,"Completed",2017-07-06,"7/6/2017","USD",15,15,"U.S.","Health Care Foundation of Greater Kansas City","Foundation","United States","North America","Aon Hewitt Investment Consulting","PIMCO","PIMCO","United States","Real Estate","Mixed/Unspecified","Opportunistic","","","","07","US","2017","Q3","Real Estate",1,15
"2363",2147031837,"Completed",2017-07-28,"7/28/2017","USD",358,0,"U.S.","Pennsylvania State Employees Retirement System","Public D.B.","United States","North America","None","PIMCO","PIMCO","","Fixed Income","Mixed/Unspecified","Core","","","","07","US","2017","Q3","Fixed Income",1,0
"2364",2147029974,"Completed",2017-04-13,"4/13/2017","USD",50,50,"Global","San Antonio Fire & Police Pension Fund","Public D.B.","United States","North America","NEPC","PineBridge Investments","","Bahrain","Fixed Income","Mixed/Unspecified","High-Yield","","","","04","US","2017","Q2","Fixed Income",1,50
"2365",2147027151,"Completed",2017-07-11,"7/11/2017","USD",0,0,"U.S.","Philadelphia Gas Works","Public D.B.","United States","North America","The PFM Group","PineBridge Investments","","Bahrain","Equity","Active","","Large-Cap","Core","S&amp;P 500","07","US","2017","Q3","Equity",1,0
"2371",2147032790,"Completed",2017-09-12,"9/12/2017","USD",0,0,"U.S.","California Department of Human Resources","Public D.C.","United States","North America","None","Pioneer Investments","","Ireland","Fixed Income","Active","Core-Plus","","","","09","US","2017","Q3","Fixed Income",1,0
"2376",2147028829,"Completed",2017-01-30,"1/30/2017","USD",40,40,"North America","Los Angeles Fire & Police Pension System","Public D.B.","United States","North America","RVK Inc.","Platinum Equity","","United States","Private Equity","","Buyout","","","","01","US","2017","Q1","Private Equity",1,40
"2377",2147028508,"Completed",2017-01-06,"1/6/2017","USD",30,30,"U.S.","Los Angeles City Employees Retirement System (LACERS)","Public D.B.","United States","North America","Portfolio Advisors","Platinum Equity","","United States","Private Equity","","Buyout","","","","01","US","2017","Q1","Private Equity",1,30
"2378",2147031899,"Completed",2017-08-01,"8/1/2017","USD",37,37,"U.S.","State of Wisconsin Investment Board","Public D.B.","United States","North America","None","Platte River Capital","","United States","Private Equity","","Middle-Market","","","","08","US","2017","Q3","Private Equity",1,37
"2380",2147030738,"Completed",2017-06-12,"6/12/2017","USD",12,12,"U.S.","Kansas City (Mo.) Firefighters Pension System","Public D.B.","United States","North America","Asset Consulting Group","Polen Capital Management","","United States","Equity","Active","","Large-Cap","Growth","","06","US","2017","Q2","Equity",1,12
"2381",2147027642,"Completed",2017-04-06,"4/6/2017","USD",15,15,"U.S.","City of Sunrise (Fl) Firefighters' Retirement Fund","Public D.B.","United States","North America","Dahab Associates","Polen Capital Management","","United States","Equity","Mixed/Unspecified","","Large-Cap","Growth","","04","US","2017","Q2","Equity",1,15
"2382",2147028691,"Completed",2017-01-26,"1/26/2017","USD",50,50,"Global","Oklahoma Firefighters Pension & Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","Pomona Capital","","United States","Private Equity","","Secondary Markets","","","","01","US","2017","Q1","Private Equity",1,50
"2383",2147031346,"Completed",2017-07-06,"7/6/2017","USD",4,4,"U.S.","Oklahoma State Regents for Higher Education","Endowment","United States","North America","Mercer","Ponoi Capital","","United States","Private Equity","","Biotech/Venture Capital","","","","07","US","2017","Q3","Private Equity",1,4
"2384",2147031285,"Completed",2017-07-05,"7/5/2017","USD",15,15,"U.S.","Texas County & District Retirement System","Public D.B.","United States","North America","Cliffwater","Ponoi Capital","","United States","Private Equity","","Venture Capital","","","","07","US","2017","Q3","Private Equity",1,15
"2385",2147026972,"Completed",2017-02-23,"2/23/2017","USD",45,45,"U.S.","Imperial County Employees Retirement System","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","Portfolio Advisors","","United States","Private Equity","","Credit-Focused","","","","02","US","2017","Q1","Private Equity",1,45
"2386",2147028651,"Completed",2017-02-17,"2/17/2017","USD",15,15,"Global","El Paso City Employees' Pension Fund","Public D.B.","United States","North America","Callan Associates","Portfolio Advisors","","United States","Private Equity","","Secondary Markets","","","","02","US","2017","Q1","Private Equity",1,15
"2387",2147028556,"Completed",2017-01-11,"1/11/2017","USD",25,25,"U.S.","Oklahoma Firefighters Pension & Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","Portfolio Advisors","","United States","Real Estate","Mixed/Unspecified","Fund-of-Funds","","","","01","US","2017","Q1","Real Estate",1,25
"2388",2147028451,"Completed",2017-01-03,"1/3/2017","USD",100,100,"Global","Los Angeles Fire & Police Pension System","Public D.B.","United States","North America","RVK Inc.","Portfolio Advisors","","United States","Private Equity","","Special Situations/Distressed","","","","01","US","2017","Q1","Private Equity",1,100
"2389",2147032538,"Completed",2017-08-29,"8/29/2017","USD",2,2,"International","University of West Florida Foundation","Foundation","United States","North America","Atlanta Consulting Group","Portfolio Advisors","","United States","Private Equity","","Secondary Markets","","","","08","US","2017","Q3","Private Equity",1,2
"2390",2147031869,"Completed",2017-07-31,"7/31/2017","USD",2,2,"Global","University of West Florida Foundation","Foundation","United States","North America","None","Portfolio Advisors","","United States","Private Equity","","Secondary Markets","","","","07","US","2017","Q3","Private Equity",1,2
"2391",2147031520,"Completed",2017-07-14,"7/14/2017","USD",11.25,11,"Global","Imperial County Employees Retirement System","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","Portfolio Advisors","","United States","Private Equity","","Credit-Focused","","","","07","US","2017","Q3","Private Equity",1,11
"2394",2147031928,"Completed",2017-08-01,"8/1/2017","USD",75,75,"Global","Florida State Board of Administration","Public D.B.","United States","North America","Cambridge Associates","Primary Wave Entertainment","","United States","Multi Asset","","Diversified Growth Fund","","","","08","US","2017","Q3","Multi Asset",1,75
"2395",2147031489,"Completed",2017-07-13,"7/13/2017","USD",50,50,"U.S.","Texas County & District Retirement System","Public D.B.","United States","North America","None","Prime Storage Fund Management","","United States","Real Estate","Mixed/Unspecified","Value-Added","","","","07","US","2017","Q3","Real Estate",1,50
"2396",2147030920,"Completed",2017-07-11,"7/11/2017","USD",20,20,"U.S.","Houston Municipal Employees' Pension System","Public D.B.","United States","North America","Cliffwater","Prime Storage Fund Management","","United States","Real Estate","Mixed/Unspecified","Value-Added","","","","07","US","2017","Q3","Real Estate",1,20
"2398",2147032358,"Completed",2017-08-29,"8/29/2017","USD",25,25,"North America","Ohio Police & Fire Pension Fund","Public D.B.","United States","North America","TorreyCove Capital Partners","Primus Capital","","United States","Private Equity","","Buyout","","","","08","US","2017","Q3","Private Equity",1,25
"2402",2147029482,"Completed",2017-03-14,"3/14/2017","USD",37,37,"U.S.","Michigan Retirement Systems","Public D.B.","United States","North America","RVK Inc.","Principal Global Investors","","United States","Real Estate","Mixed/Unspecified","","","","","03","US","2017","Q1","Real Estate",1,37
"2403",2147030790,"Completed",2017-06-14,"6/14/2017","USD",15,15,"Global (ex U.S.)","Michigan Retirement Systems","Public D.B.","United States","North America","None","Principal Global Investors","Principal Global Investors","Australia","Real Estate","Mixed/Unspecified","","","","","06","US","2017","Q2","Real Estate",1,15
"2404",2147026430,"Completed",2017-06-09,"6/9/2017","USD",12,4,"U.S.","Pontiac General Employees’ Retirement System","Public D.B.","United States","North America","Dahab Associates","Principal Global Investors","","United States","Real Estate","Mixed/Unspecified","Core","","","","06","US","2017","Q2","Real Estate",1,4
"2405",2147031429,"Completed",2017-07-11,"7/12/2017","USD",230,230,"U.S.","Texas Teachers' Retirement System","Public D.B.","United States","North America","None","Principal Global Investors","Principal Global Investors","United States","Real Estate","Mixed/Unspecified","Opportunistic","","","","07","US","2017","Q3","Real Estate",1,230
"2407",2147028554,"Completed",2017-01-11,"1/11/2017","USD",4,4,"U.S.","Massachusetts Water Resource Authority","Public D.B.","United States","North America","NEPC","Private Advisors","","United States","Private Equity","","Buyout/Special Situations/Distressed","","","","01","US","2017","Q1","Private Equity",1,4
"2408",2147033250,"Completed",2017-09-29,"9/29/2017","USD",15,15,"Global","Milwaukee City Employees Retirement System","Public D.B.","United States","North America","Callan Associates","Private Advisors","","United States","Private Equity","","Buyout/Middle-Market","","","","09","US","2017","Q3","Private Equity",1,15
"2409",2147028986,"Completed",2017-02-09,"2/9/2017","USD",28,28,"Nordics","State of Wisconsin Investment Board","Public D.B.","United States","North America","StepStone Group","Procuritas Partners","","Sweden","Private Equity","","Buyout","","","","02","US","2017","Q1","Private Equity",1,28
"2412",2147031042,"Completed",2017-06-26,"6/26/2017","USD",100,100,"U.S.","Texas Permanent School Fund","Trust Fund","United States","North America","None","Prologis","","United States","Real Estate","Mixed/Unspecified","","","","","06","US","2017","Q2","Real Estate",1,100
"2413",2147032567,"Completed",2017-08-30,"8/30/2017","USD",300,300,"U.S.","New York State Common Retirement Fund","Public D.B.","United States","North America","None","Prologis","","United States","Real Estate","Mixed/Unspecified","Core","","","","08","US","2017","Q3","Real Estate",1,300
"2415",2147030021,"Completed",2017-04-19,"4/19/2017","USD",100,100,"North America","State of Wisconsin Investment Board","Public D.B.","United States","North America","StepStone Group, LP","Providence Equity Partners","","United States","Private Equity","","Buyout","","","","04","US","2017","Q2","Private Equity",1,100
"2417",2147029790,"Completed",2017-03-31,"3/31/2017","USD",0,0,"U.S.","Dartmouth University Defined Contribution Plan","Public D.C.","United States","North America","None","Prudential Financial","Prudential Financial","United States","Fixed Income","Active","","","","","03","US","2017","Q1","Fixed Income",1,0
"2419",2147028168,"Completed",2017-04-11,"4/11/2017","USD",350,350,"U.S.","Teachers’ Retirement System of Louisiana","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Prudential Financial","Prudential Financial","United States","Fixed Income","Mixed/Unspecified","Core","","","","04","US","2017","Q2","Fixed Income",1,350
"2420",2146999160,"Completed",2017-07-18,"7/18/2017","USD",46,46,"U.S.","Southeastern Pennsylvania Transportation Authority","Public D.B.","United States","North America","The PFM Group","Prudential Financial","Prudential Financial","United States","Fixed Income","Active","","","","","07","US","2017","Q3","Fixed Income",1,46
"2424",2147029352,"Completed",2017-03-17,"7/12/2017","USD",45,45,"U.S.","San Diego City Employees Retirement System","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Prudential Investment Management","Prudential Financial","United States","Real Estate","Mixed/Unspecified","Core","","","","03","US","2017","Q1","Real Estate",1,45
"2425",2147028677,"Completed",2017-01-19,"1/19/2017","USD",0,0,"U.S.","Engility Corporation","Corporate D.C.","United States","North America","None","Prudential Investment Management","Prudential Financial","United States","Fixed Income","Mixed/Unspecified","Stable Value","","","","01","US","2017","Q1","Fixed Income",1,0
"2426",2147028592,"Completed",2017-01-13,"1/13/2017","USD",0,0.5,"U.S.","Norwalk (Conn.) Employees Pension System","Public D.B.","United States","North America","Callan Associates","Prudential Investment Management","Prudential Financial","United States","Fixed Income","Mixed/Unspecified","Core","","","","01","US","2017","Q1","Fixed Income",1,0.5
"2427",2147001628,"Completed",2017-06-23,"6/23/2017","USD",15,15,"U.S.","Knox County (Tenn.) Retirement System","Public D.B.","United States","North America","Wilshire Associates","Prudential Investment Management","Prudential Financial","United States","Fixed Income","Active","Core","","","","06","US","2017","Q2","Fixed Income",1,15
"2428",2147033167,"Completed",2017-09-26,"9/26/2017","USD",2.7,1.45,"Global","City of Norwalk OPEB Trust ","Trust Fund","United States","North America","None","Prudential Investment Management","Prudential Financial","United States","Fixed Income","Mixed/Unspecified","","","","","09","US","2017","Q3","Fixed Income",1,1.45
"2429",2147033057,"Completed",2017-09-20,"9/20/2017","USD",1085,1085,"U.S.","Minnesota State Board of Investments","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Prudential Investment Management","","Japan","Fixed Income","Active","Core","","","Barclays Capital US Aggregate","09","US","2017","Q3","Fixed Income",1,1085
"2431",2147033255,"Completed",2017-09-29,"9/29/2017","USD",57,57,"U.S.","Montana Board of Investments","Public D.B.","United States","North America","RVK Inc.","Prudential Real Estate Investors","Prudential Financial","United States","Real Estate","Mixed/Unspecified","Value-Added","","","","09","US","2017","Q3","Real Estate",1,57
"2432",2147032343,"Completed",2017-08-17,"8/17/2017","USD",19,14,"U.S.","Montana Board of Investments","Public D.B.","United States","North America","RVK Inc.","Prudential Real Estate Investors","Prudential Financial","United States","Real Estate","Mixed/Unspecified","Core","","","","08","US","2017","Q3","Real Estate",1,14
"2433",2147029883,"Completed",2017-07-24,"7/24/2017","USD",12.1,12.1,"U.S.","New Mexico Public Employees Retirement Association Deferred Compensation Program","Public D.C.","United States","North America","Meketa Investment Group","Prudential Real Estate Investors","Prudential Financial","United States","Real Estate","Mixed/Unspecified","Core","","","","07","US","2017","Q3","Real Estate",1,12.1
"2434",2147027726,"Completed",2017-07-21,"7/21/2017","USD",70,70,"U.S.","San Mateo County Employees Retirement Association","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Strategic Investment Solutions)","Prudential Real Estate Investors","Prudential Financial","United States","Real Estate","Mixed/Unspecified","Debt","","","","07","US","2017","Q3","Real Estate",1,70
"2440",2147032489,"Completed",2017-08-24,"8/24/2017","USD",3,3,"U.S.","Holyoke Retirement System","Public D.B.","United States","North America","Segal Marco Advisors","Putnam Investments","Putnam Investments","United Kingdom","Fixed Income","Active/Mixed/Unspecified","Corporate Bonds/Debt","","","","08","US","2017","Q3","Fixed Income",1,3
"2442",2147030374,"Completed",2017-05-15,"5/15/2017","USD",20,20,"U.S.","Employees Retirement System of Texas","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","QIC","","United States","Real Assets","","Infrastructure","","","","05","US","2017","Q2","Other Alternatives",1,20
"2445",2147027508,"Completed",2017-03-02,"3/2/2017","USD",70,70,"U.S.","Alaska Permanent Fund Corporation","Public D.B.","United States","North America","TorreyCove Capital Partners","Quad-C Management","","United States","Private Equity","","Buyout","","","","03","US","2017","Q1","Private Equity",1,70
"2448",2147028108,"Completed",2017-06-13,"6/13/2017","USD",28,14,"U.S.","Taunton (Mass.) Contributory Retirement System","Public D.B.","United States","North America","Dahab Associates","Quantitative Management Associates","","United States","Equity","Active","","Small-Cap","Core","","06","US","2017","Q2","Equity",1,14
"2449",2147029579,"Completed",2017-03-17,"3/17/2017","USD",50,50,"U.S.","Nebraska Investment Council","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Quantum Energy Partners","","United States","Commodities","","Energy/Natural Resources","","","","03","US","2017","Q1","Other Alternatives",1,50
"2450",2147030824,"Completed",2017-06-16,"6/16/2017","USD",85,85,"North America","Employees Retirement System of Texas","Public D.B.","United States","North America","None","Quantum Energy Partners","","United States","Commodities","","Energy/Natural Resources","","","","06","US","2017","Q2","Other Alternatives",1,85
"2451",2147030582,"Completed",2017-05-31,"5/31/2017","USD",7,7,"U.S.","Oklahoma State Regents for Higher Education","Endowment","United States","North America","Mercer","Quantum Energy Partners","","United States","Commodities","","Energy","","","","05","US","2017","Q2","Other Alternatives",1,7
"2452",2147031931,"Completed",2017-08-01,"8/1/2017","USD",20,20,"Global","San Mateo County Employees Retirement Association","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","Quantum Energy Partners","","United States","Private Equity","","Commodities-Focused","","","","08","US","2017","Q3","Private Equity",1,20
